11,14,1
19,17,1
15,10,1
17,16,1
16,11,1
11,17,1
16,13,1
19,11,1
13,12,1
11,13,1
18,19,1
12,12,1
18,19,1
17,10,1
15,15,1
10,11,1
10,14,1
17,12,1
19,12,1
16,16,1
11,14,1
11,18,1
14,10,1
14,12,1
13,16,1
11,11,1
10,14,1
11,10,1
10,19,1
13,10,1
17,10,1
13,19,1
16,18,1
11,12,1
19,12,1
18,19,1
17,14,1
10,14,1
10,13,1
17,11,1
11,17,1
13,10,1
12,10,1
12,13,1
17,17,1
16,15,1
14,18,1
15,14,1
16,10,1
11,14,1
16,16,1
17,16,1
16,10,1
15,19,1
14,13,1
17,19,1
17,13,1
14,11,1
15,14,1
18,12,1
13,10,1
13,17,1
18,19,1
13,14,1
12,18,1
12,10,1
17,12,1
14,17,1
14,15,1
19,14,1
14,18,1
16,18,1
17,19,1
18,10,1
17,18,1
14,16,1
15,18,1
17,10,1
17,19,1
13,10,1
16,17,1
11,14,1
16,12,1
11,13,1
11,16,1
14,18,1
17,10,1
14,18,1
11,12,1
19,11,1
14,17,1
15,18,1
12,15,1
17,18,1
18,15,1
13,16,1
16,14,1
15,15,1
16,18,1
13,16,1
9,5,0
3,9,0
6,3,0
6,1,0
7,2,0
9,7,0
7,6,0
8,1,0
9,4,0
3,7,0
4,8,0
6,6,0
1,4,0
6,6,0
3,6,0
8,9,0
0,0,0
7,7,0
2,8,0
3,2,0
4,4,0
6,3,0
0,9,0
2,6,0
2,3,0
5,0,0
2,9,0
7,3,0
0,4,0
8,1,0
5,9,0
5,9,0
0,6,0
9,8,0
6,5,0
9,7,0
3,3,0
3,6,0
2,8,0
2,3,0
3,0,0
0,5,0
8,9,0
6,4,0
5,7,0
6,6,0
1,9,0
2,1,0
4,9,0
3,0,0
6,3,0
1,3,0
5,7,0
2,9,0
4,0,0
2,4,0
2,2,0
6,4,0
8,0,0
5,1,0
1,7,0
5,2,0
0,9,0
0,7,0
9,7,0
3,9,0
4,7,0
1,8,0
5,1,0
5,4,0
0,9,0
0,9,0
5,9,0
7,6,0
1,6,0
9,9,0
4,7,0
2,6,0
9,6,0
4,2,0
4,9,0
2,3,0
4,5,0
6,8,0
4,9,0
3,9,0
9,8,0
8,9,0
5,1,0
6,2,0
7,9,0
3,2,0
7,9,0
8,4,0
9,2,0
2,4,0
5,0,0
0,9,0
5,8,0
6,6,0
